900;0;917.13;918.71
900;21.5;916.13;918.16
900;61.5;914.25;915.91
900;88.42;912.99;914.36
901;0;912.44;913.83
901;29;911.09;912.35
901;55.5;909.92;910.98
901;71.52;909.28;910.34
901;84.5;908.8;909.83
902;0;908.27;909.53
902;24;907.53;908.86
902;69.5;906.18;907.47
903;0;905.27;906.49
903;4.5;905.13;906.29
903;49.5;903.8;904.84
903;56;903.6;905.04
903;77.8;902.95;904.22
904;0;902.25;903.79
904;19;901.62;902.87
904;32.32;901.14;902.55
904;44.02;900.69;901.98
904;69;899.61;900.77
905;0;898.12;899.31
905;43.5;895.93;897.31
905;74.5;894.35;895.83
906;0;893.05;894.35
906;38;891.1;892.24
906;71.02;887.91;889.1
906;84;886.65;888.04
906;96.15;885.49;886.72
907;0;885.26;886.34
907;38;883.27;884.43
907;42;883.07;884.5
907;71.56;881.68;882.82
908;0;880.52;882.2
908;25;879.62;881.1
908;50.77;878.73;880.46
908;89.5;877.39;878.96
909;0;877;878.4
909;5.94;876.78;878.15
909;32.32;875.7;877.04
909;70.85;874.05;875.09
910;0;872.8;874.17
910;24;871.78;873.55
910;35.64;871.31;872.74
910;44.5;870.97;872.12
910;88.05;869.4;870.5
911;0;868.97;869.98
911;16.5;868.38;869.56
911;45;867.37;869.1
911;82.31;866.02;868.06
912;0;865.36;867.43
912;23.91;864.41;866.35
912;41.77;863.66;865.15
912;49;863.33;864.67
912;64.99;862.57;863.78
912;81;861.77;862.96
913;0;860.8;862.53
913;28.5;859.29;860.8
913;73;856.92;858.02
914;0;855.49;856.86
914;22.42;854.29;855.61
914;59.5;852.3;853.43
914;76.2;851.38;852.46
914;87;850.77;851.83
915;0;850.02;851.35
915;21.5;848.76;850.35
915;63.28;846.31;847.49
915;72;845.8;847.14
916;0;844.17;845.28
916;34;842.28;843.73
916;82.85;839.6;840.88
916;91.2;839.14;840.38
917;0;838.65;840.02
917;15;837.83;838.84
917;29;837.06;838.34
917;48;836.01;837.31
